anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
4D,2101.0,"[-77.0239345576, 38.9541957455]",FOURTH,OTHERS,190571,THEFT F/AUTO,2016-05-07T10:05:39.000Z,DAY,4
2E,202.0,"[-77.064453492, 38.9095091222]",SECOND,OTHERS,190572,BURGLARY,2016-05-07T10:28:54.000Z,DAY,2
5D,8804.0,"[-76.9794457222, 38.9062100214]",FIFTH,OTHERS,190573,THEFT/OTHER,2016-05-07T11:09:55.000Z,DAY,5
7E,9905.0,"[-76.9280158574, 38.8814796879]",SIXTH,OTHERS,190574,MOTOR VEHICLE THEFT,2016-05-07T11:24:50.000Z,DAY,7
5C,9000.0,"[-76.9565594779, 38.9264274651]",FIFTH,OTHERS,190575,MOTOR VEHICLE THEFT,2016-05-07T11:37:39.000Z,DAY,5
8E,7404.0,"[-76.9792550754, 38.8481688908]",SEVENTH,OTHERS,190576,THEFT F/AUTO,2016-05-07T11:39:36.000Z,DAY,8
2B,5500.0,"[-77.0466404999, 38.910193217]",SECOND,OTHERS,190577,THEFT F/AUTO,2016-05-07T11:47:47.000Z,DAY,2
2B,5301.0,"[-77.0365294977, 38.9115030256]",THIRD,OTHERS,190578,THEFT F/AUTO,2016-05-07T11:54:58.000Z,DAY,2
4D,2101.0,"[-77.023238777, 38.957421746]",FOURTH,OTHERS,190579,MOTOR VEHICLE THEFT,2016-05-07T12:07:01.000Z,DAY,4
5D,8803.0,"[-77.0002559327, 38.9079774651]",FIFTH,OTHERS,190580,THEFT/OTHER,2016-05-07T12:30:29.000Z,DAY,5
7C,7804.0,"[-76.9329147773, 38.8929863097]",SIXTH,GUN,190581,ROBBERY,2016-05-07T12:33:46.000Z,DAY,7
4C,2002.0,"[-77.0282346637, 38.9578170098]",FOURTH,OTHERS,190582,THEFT/OTHER,2016-05-07T13:16:33.000Z,DAY,4
5E,4600.0,"[-77.0151870486, 38.9100123643]",FIFTH,OTHERS,190583,THEFT F/AUTO,2016-05-07T13:17:31.000Z,DAY,5
