anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
5D,8803.0,"[-76.9975579843, 38.909409767]",FIFTH,OTHERS,193290,THEFT F/AUTO,2016-06-02T17:03:13.000Z,EVENING,5
3E,1001.0,"[-77.0853018915, 38.9599152513]",SECOND,OTHERS,193291,THEFT/OTHER,2016-06-02T17:39:32.000Z,EVENING,3
5C,9102.0,"[-76.9819666406, 38.9219389949]",FIFTH,OTHERS,193292,ROBBERY,2016-06-02T17:50:50.000Z,EVENING,5
5D,8904.0,"[-76.9741901124, 38.9014976093]",FIFTH,OTHERS,193293,THEFT/OTHER,2016-06-02T18:02:32.000Z,EVENING,5
6B,7000.0,"[-76.9955880526, 38.8827269275]",FIRST,OTHERS,193294,THEFT F/AUTO,2016-06-02T18:04:42.000Z,EVENING,6
8B,7605.0,"[-76.9720375047, 38.8638961022]",SIXTH,OTHERS,193295,ASSAULT W/DANGEROUS WEAPON,2016-06-02T18:06:46.000Z,EVENING,8
6B,7000.0,"[-76.9989880469, 38.8827270064]",FIRST,OTHERS,193296,THEFT/OTHER,2016-06-02T18:18:54.000Z,EVENING,6
2C,5800.0,"[-77.0270466107, 38.897839934]",FIRST,OTHERS,193297,THEFT/OTHER,2016-06-02T18:24:05.000Z,EVENING,2
2C,5800.0,"[-77.0209248225, 38.8961296016]",FIRST,OTHERS,193298,THEFT F/AUTO,2016-06-02T19:07:14.000Z,EVENING,2
2F,10100.0,"[-77.0288592086, 38.9045777526]",THIRD,OTHERS,193299,THEFT F/AUTO,2016-06-02T19:08:20.000Z,EVENING,2
1B,3500.0,"[-77.0255805734, 38.9244058661]",THIRD,OTHERS,193300,BURGLARY,2016-06-02T19:33:52.000Z,EVENING,1
1C,4001.0,"[-77.0441677373, 38.9201303732]",THIRD,OTHERS,193301,THEFT/OTHER,2016-06-02T19:37:28.000Z,EVENING,1
1A,3100.0,"[-77.0250293169, 38.9309189972]",THIRD,OTHERS,193302,THEFT/OTHER,2016-06-02T19:48:49.000Z,EVENING,1
2C,5800.0,"[-77.0288678098, 38.897344038]",FIRST,OTHERS,193303,THEFT/OTHER,2016-06-02T19:56:43.000Z,EVENING,2
1A,2900.0,"[-77.0291127479, 38.9325845883]",THIRD,OTHERS,193304,THEFT F/AUTO,2016-06-02T19:58:39.000Z,EVENING,1
4C,2001.0,"[-77.0349256588, 38.9562207396]",FOURTH,OTHERS,193305,ROBBERY,2016-06-02T20:22:17.000Z,EVENING,4
6D,10500.0,"[-77.0151922455, 38.8802847488]",FIRST,OTHERS,193306,THEFT/OTHER,2016-06-02T20:22:38.000Z,EVENING,6
2C,5800.0,"[-77.0224356651, 38.8984534793]",FIRST,OTHERS,193307,THEFT F/AUTO,2016-06-02T20:26:42.000Z,EVENING,2
1C,4002.0,"[-77.0429583571, 38.9224910055]",THIRD,OTHERS,193308,THEFT/OTHER,2016-06-02T20:39:07.000Z,EVENING,1
4A,1804.0,"[-77.0275573898, 38.9667173272]",FOURTH,OTHERS,193309,THEFT/OTHER,2016-06-02T20:48:27.000Z,EVENING,4
8B,7409.0,"[-76.9716411477, 38.8464646941]",SEVENTH,OTHERS,193310,THEFT F/AUTO,2016-06-02T20:53:02.000Z,EVENING,8
8B,7409.0,"[-76.9777011258, 38.844240923]",SEVENTH,GUN,193311,ASSAULT W/DANGEROUS WEAPON,2016-06-02T21:09:33.000Z,EVENING,8
2C,5800.0,"[-77.0249602377, 38.8983178417]",FIRST,OTHERS,193312,THEFT/OTHER,2016-06-02T21:24:52.000Z,EVENING,2
8A,7504.0,"[-76.9814979254, 38.8617359639]",SEVENTH,OTHERS,193313,THEFT/OTHER,2016-06-02T21:32:35.000Z,EVENING,8
1C,4002.0,"[-77.0444548555, 38.9182565317]",THIRD,OTHERS,193314,THEFT/OTHER,2016-06-02T21:43:44.000Z,EVENING,1
5C,11100.0,"[-76.9701561661, 38.9266479275]",FIFTH,OTHERS,193315,THEFT F/AUTO,2016-06-02T21:45:54.000Z,EVENING,5
5D,8803.0,"[-76.9986071799, 38.9098511931]",FIFTH,OTHERS,193316,MOTOR VEHICLE THEFT,2016-06-02T21:51:25.000Z,EVENING,5
8E,7404.0,"[-76.9810283265, 38.8511870192]",SEVENTH,OTHERS,193317,MOTOR VEHICLE THEFT,2016-06-02T22:01:22.000Z,EVENING,8
4B,1901.0,"[-77.0199071194, 38.9669981357]",FOURTH,OTHERS,193318,THEFT F/AUTO,2016-06-02T22:18:27.000Z,EVENING,4
1C,3900.0,"[-77.0403078133, 38.9256358541]",THIRD,OTHERS,193319,THEFT/OTHER,2016-06-02T22:20:41.000Z,EVENING,1
6A,8402.0,"[-76.9892810315, 38.9002027647]",FIRST,OTHERS,193320,THEFT/OTHER,2016-06-02T22:51:05.000Z,EVENING,6
8A,7503.0,"[-76.9900239834, 38.863403561]",SEVENTH,GUN,193321,ROBBERY,2016-06-02T23:44:46.000Z,MIDNIGHT,8
4C,2301.0,"[-77.0129565087, 38.944379356]",FOURTH,KNIFE,193322,ASSAULT W/DANGEROUS WEAPON,2016-06-02T23:54:27.000Z,MIDNIGHT,4
2E,202.0,"[-77.070989046, 38.9076946559]",SECOND,OTHERS,193323,BURGLARY,2016-06-03T00:12:06.000Z,MIDNIGHT,2
5E,3302.0,"[-77.0134701001, 38.9152734453]",FIFTH,OTHERS,193324,THEFT F/AUTO,2016-06-03T00:25:40.000Z,MIDNIGHT,5
3E,1100.0,"[-77.0820339235, 38.9575303997]",SECOND,OTHERS,191483,THEFT F/AUTO,2016-05-16T15:49:35.000Z,EVENING,3
5B,9504.0,"[-76.991443222, 38.942866369]",FOURTH,OTHERS,191484,THEFT F/AUTO,2016-05-16T15:53:05.000Z,EVENING,5
6A,8402.0,"[-76.9926590164, 38.8981220942]",FIRST,OTHERS,191485,THEFT/OTHER,2016-05-16T15:57:54.000Z,EVENING,6
2F,5201.0,"[-77.0332656311, 38.90965729]",SECOND,OTHERS,191486,THEFT/OTHER,2016-05-16T16:01:22.000Z,EVENING,2
4A,2600.0,"[-77.0372475804, 38.939743878]",FOURTH,OTHERS,191487,THEFT F/AUTO,2016-05-16T16:06:18.000Z,EVENING,4
6B,6500.0,"[-76.9995182008, 38.8849070392]",FIRST,OTHERS,191488,THEFT/OTHER,2016-05-16T16:13:44.000Z,EVENING,6
3E,1100.0,"[-77.0820339235, 38.9575303997]",SECOND,OTHERS,191489,THEFT F/AUTO,2016-05-16T16:14:16.000Z,EVENING,3
1B,4300.0,"[-77.0319547787, 38.9175579688]",THIRD,OTHERS,191490,THEFT/OTHER,2016-05-16T16:15:45.000Z,EVENING,1
4C,2400.0,"[-77.0238203601, 38.9369908469]",FOURTH,GUN,191491,ASSAULT W/DANGEROUS WEAPON,2016-05-16T16:16:45.000Z,EVENING,4
6B,6700.0,"[-76.9921182075, 38.8890506297]",FIRST,OTHERS,191492,MOTOR VEHICLE THEFT,2016-05-16T16:20:11.000Z,EVENING,6
1B,3100.0,"[-77.0246015723, 38.92797337]",THIRD,OTHERS,191493,THEFT F/AUTO,2016-05-16T16:28:37.000Z,EVENING,1
3G,1100.0,"[-77.0715930049, 38.9580507305]",SECOND,OTHERS,191494,THEFT F/AUTO,2016-05-16T16:32:25.000Z,EVENING,3
3B,702.0,"[-77.0750174911, 38.923096397]",SECOND,OTHERS,191495,THEFT F/AUTO,2016-05-16T16:33:39.000Z,EVENING,3
4C,2501.0,"[-77.0327291852, 38.9466635962]",FOURTH,OTHERS,191496,THEFT/OTHER,2016-05-16T16:37:48.000Z,EVENING,4
8C,9803.0,"[-77.0005782006, 38.839432539]",SEVENTH,OTHERS,191497,THEFT/OTHER,2016-05-16T16:40:44.000Z,EVENING,8
5D,8804.0,"[-76.9794457222, 38.9062100214]",FIFTH,OTHERS,191498,THEFT/OTHER,2016-05-16T16:50:11.000Z,EVENING,5
1A,3000.0,"[-77.032732849, 38.9295208052]",THIRD,OTHERS,191499,THEFT/OTHER,2016-05-16T16:52:32.000Z,EVENING,1
4D,2101.0,"[-77.026606047, 38.952934911]",FOURTH,GUN,191500,ROBBERY,2016-05-16T17:00:29.000Z,EVENING,4
2B,10700.0,"[-77.0425221176, 38.9064563241]",SECOND,OTHERS,191501,THEFT F/AUTO,2016-05-16T17:05:40.000Z,EVENING,2
1B,3600.0,"[-77.0288785065, 38.9237655068]",THIRD,OTHERS,191502,THEFT F/AUTO,2016-05-16T17:12:01.000Z,EVENING,1
5D,8904.0,"[-76.9762306727, 38.9014169671]",FIFTH,GUN,191503,ROBBERY,2016-05-16T17:13:17.000Z,EVENING,5
3G,1100.0,"[-77.0715930049, 38.9580507305]",SECOND,OTHERS,191504,THEFT F/AUTO,2016-05-16T17:28:09.000Z,EVENING,3
1A,2802.0,"[-77.0347628181, 38.9298625349]",THIRD,OTHERS,191505,THEFT F/AUTO,2016-05-16T17:30:40.000Z,EVENING,1
7F,9907.0,"[-76.9354350459, 38.8848441541]",SIXTH,OTHERS,191506,BURGLARY,2016-05-16T17:46:50.000Z,EVENING,7
6D,10200.0,"[-77.0176464754, 38.8778701543]",FIRST,OTHERS,191507,THEFT/OTHER,2016-05-16T17:52:38.000Z,EVENING,6
6B,7000.0,"[-77.0013161744, 38.8825017937]",FIRST,OTHERS,191508,THEFT/OTHER,2016-05-16T17:57:58.000Z,EVENING,6
2E,100.0,"[-77.0638421906, 38.9092572241]",SECOND,OTHERS,191509,THEFT F/AUTO,2016-05-16T17:58:56.000Z,EVENING,2
1A,2900.0,"[-77.0297367422, 38.9354310554]",FOURTH,OTHERS,191510,THEFT F/AUTO,2016-05-16T18:27:45.000Z,EVENING,1
2F,4902.0,"[-77.0265192335, 38.9056503011]",THIRD,OTHERS,191511,THEFT F/AUTO,2016-05-16T18:54:39.000Z,EVENING,2
6E,4701.0,"[-77.0146441225, 38.9050218087]",FIRST,OTHERS,191512,THEFT F/AUTO,2016-05-16T19:05:21.000Z,EVENING,6
7F,9901.0,"[-76.9538539788, 38.8836277426]",SIXTH,OTHERS,191513,THEFT F/AUTO,2016-05-16T19:18:22.000Z,EVENING,7
4B,1901.0,"[-77.0259746474, 38.9615019119]",FOURTH,OTHERS,191514,THEFT F/AUTO,2016-05-16T19:20:39.000Z,EVENING,4
5B,9400.0,"[-76.9741872533, 38.9412603568]",FIFTH,OTHERS,191515,THEFT/OTHER,2016-05-16T19:38:05.000Z,EVENING,5
5E,9204.0,"[-77.0015130208, 38.9255977545]",FIFTH,OTHERS,191516,THEFT/OTHER,2016-05-16T19:43:28.000Z,EVENING,5
4B,10300.0,"[-77.0250438693, 38.9723480437]",FOURTH,OTHERS,191517,THEFT F/AUTO,2016-05-16T19:47:47.000Z,EVENING,4
1B,3400.0,"[-77.0147854568, 38.9194261273]",THIRD,OTHERS,191518,MOTOR VEHICLE THEFT,2016-05-16T19:52:20.000Z,EVENING,1
1B,4400.0,"[-77.0265133001, 38.9207032372]",THIRD,OTHERS,191519,MOTOR VEHICLE THEFT,2016-05-16T19:54:03.000Z,EVENING,1
5B,9302.0,"[-76.9905686422, 38.9270657396]",FIFTH,OTHERS,191520,ROBBERY,2016-05-16T19:57:04.000Z,EVENING,5
6D,7200.0,"[-77.0058797672, 38.8770065336]",FIRST,OTHERS,191521,THEFT/OTHER,2016-05-16T20:11:08.000Z,EVENING,6
6E,4801.0,"[-77.0199040721, 38.9147770679]",THIRD,OTHERS,191522,THEFT F/AUTO,2016-05-16T20:20:21.000Z,EVENING,6
1A,3200.0,"[-77.0225036669, 38.9312978598]",THIRD,OTHERS,192127,THEFT F/AUTO,2016-05-22T14:07:10.000Z,DAY,1
7F,9603.0,"[-76.9513478858, 38.8910316155]",SIXTH,OTHERS,192128,THEFT F/AUTO,2016-05-22T14:07:40.000Z,DAY,7
2B,10700.0,"[-77.037528123, 38.9025328251]",SECOND,OTHERS,192129,THEFT F/AUTO,2016-05-22T14:19:51.000Z,DAY,2
4A,2600.0,"[-77.0384365108, 38.9413469693]",FOURTH,OTHERS,192130,THEFT F/AUTO,2016-05-22T14:28:03.000Z,DAY,4
6B,6600.0,"[-76.9961872331, 38.8853573973]",FIRST,OTHERS,192131,THEFT/OTHER,2016-05-22T14:31:05.000Z,DAY,6
8C,10400.0,"[-77.0069130804, 38.836864926]",SEVENTH,OTHERS,192132,THEFT F/AUTO,2016-05-22T14:51:22.000Z,DAY,8
2B,5301.0,"[-77.0400805466, 38.9111325193]",THIRD,OTHERS,192133,THEFT F/AUTO,2016-05-22T15:00:44.000Z,DAY,2
8E,7304.0,"[-76.9890936732, 38.8438011293]",SEVENTH,OTHERS,192134,THEFT/OTHER,2016-05-22T15:37:58.000Z,EVENING,8
2B,10700.0,"[-77.039672557, 38.9031512608]",SECOND,OTHERS,192135,THEFT/OTHER,2016-05-22T15:56:33.000Z,EVENING,2
8C,7401.0,"[-76.9945871411, 38.8590077522]",SEVENTH,OTHERS,192136,ROBBERY,2016-05-22T15:59:48.000Z,EVENING,8
6C,8301.0,"[-77.0000483956, 38.8989150606]",FIRST,OTHERS,192137,THEFT F/AUTO,2016-05-22T16:18:00.000Z,EVENING,6
1B,3500.0,"[-77.0262722927, 38.9238381884]",THIRD,OTHERS,192138,THEFT/OTHER,2016-05-22T16:19:44.000Z,EVENING,1
7C,7804.0,"[-76.9292360552, 38.8945876295]",SIXTH,OTHERS,192139,THEFT F/AUTO,2016-05-22T16:41:01.000Z,EVENING,7
7F,9603.0,"[-76.9469775226, 38.8933538741]",SIXTH,OTHERS,192140,THEFT/OTHER,2016-05-22T17:06:30.000Z,EVENING,7
4D,2202.0,"[-77.0167534773, 38.9521710351]",FOURTH,OTHERS,192141,THEFT/OTHER,2016-05-22T17:13:32.000Z,EVENING,4
2B,10700.0,"[-77.0385101813, 38.9068991246]",SECOND,OTHERS,192142,THEFT F/AUTO,2016-05-22T17:24:02.000Z,EVENING,2
5C,9400.0,"[-76.9701413069, 38.9345932532]",FIFTH,OTHERS,192143,THEFT F/AUTO,2016-05-22T17:32:04.000Z,EVENING,5
6C,8302.0,"[-76.9973162064, 38.9002032254]",FIRST,OTHERS,192144,THEFT/OTHER,2016-05-22T17:38:37.000Z,EVENING,6
2B,5500.0,"[-77.0436092615, 38.9099352176]",SECOND,OTHERS,192145,THEFT/OTHER,2016-05-22T17:46:20.000Z,EVENING,2
3C,1002.0,"[-77.0724339531, 38.9340701556]",SECOND,OTHERS,192146,THEFT/OTHER,2016-05-22T17:56:57.000Z,EVENING,3
6D,10200.0,"[-77.0152145943, 38.876996682]",FIRST,GUN,192147,ASSAULT W/DANGEROUS WEAPON,2016-05-22T18:10:01.000Z,EVENING,6
2A,5600.0,"[-77.0501278242, 38.9013455709]",SECOND,OTHERS,192148,THEFT/OTHER,2016-05-22T18:23:10.000Z,EVENING,2
1B,3700.0,"[-77.0352665684, 38.9223764718]",THIRD,OTHERS,192149,THEFT F/AUTO,2016-05-22T18:27:54.000Z,EVENING,1
1A,3100.0,"[-77.024995829, 38.9340899283]",FOURTH,OTHERS,192150,THEFT F/AUTO,2016-05-22T18:59:04.000Z,EVENING,1
6C,8301.0,"[-77.000578678, 38.8981223232]",FIRST,OTHERS,192151,THEFT F/AUTO,2016-05-22T19:11:42.000Z,EVENING,6
6A,8402.0,"[-76.991529113, 38.8995543473]",FIRST,GUN,192152,ROBBERY,2016-05-22T19:22:15.000Z,EVENING,6
2C,5800.0,"[-77.0219275161, 38.8954627985]",FIRST,OTHERS,192153,THEFT/OTHER,2016-05-22T19:30:07.000Z,EVENING,2
5B,9301.0,"[-76.9911213399, 38.934020198]",FIFTH,OTHERS,192154,THEFT/OTHER,2016-05-22T19:36:42.000Z,EVENING,5
6E,4701.0,"[-77.0090753704, 38.9031216114]",FIRST,KNIFE,192155,ASSAULT W/DANGEROUS WEAPON,2016-05-22T19:58:26.000Z,EVENING,6
2E,100.0,"[-77.0580845106, 38.9039002593]",SECOND,OTHERS,192156,THEFT F/AUTO,2016-05-22T20:01:41.000Z,EVENING,2
5B,9301.0,"[-76.9835900917, 38.9329113619]",FIFTH,OTHERS,192157,THEFT F/AUTO,2016-05-22T20:02:32.000Z,EVENING,5
4B,9505.0,"[-77.0021715632, 38.9649459298]",FOURTH,KNIFE,192158,ROBBERY,2016-05-22T20:14:42.000Z,EVENING,4
2B,5500.0,"[-77.0477338633, 38.9072470458]",SECOND,OTHERS,192159,THEFT F/AUTO,2016-05-22T20:16:01.000Z,EVENING,2
1A,3100.0,"[-77.024995829, 38.9340899283]",FOURTH,OTHERS,192160,MOTOR VEHICLE THEFT,2016-05-22T20:21:31.000Z,EVENING,1
7D,9603.0,"[-76.9385992223, 38.8911247022]",SIXTH,OTHERS,192161,THEFT/OTHER,2016-05-22T20:37:27.000Z,EVENING,7
1A,2900.0,"[-77.0285019137, 38.9336837522]",FOURTH,OTHERS,192162,THEFT F/AUTO,2016-05-22T20:39:18.000Z,EVENING,1
5D,8904.0,"[-76.9741901124, 38.9014976093]",FIFTH,OTHERS,192163,ROBBERY,2016-05-22T20:40:19.000Z,EVENING,5
8E,9700.0,"[-76.9918366151, 38.83163093]",SEVENTH,OTHERS,192164,MOTOR VEHICLE THEFT,2016-05-22T20:43:31.000Z,EVENING,8
5E,4600.0,"[-77.0156827493, 38.9096429567]",FIFTH,OTHERS,192165,THEFT/OTHER,2016-05-22T20:52:54.000Z,EVENING,5
6E,4801.0,"[-77.0189354409, 38.9145430121]",THIRD,OTHERS,192166,THEFT F/AUTO,2016-05-22T20:53:17.000Z,EVENING,6
8A,7601.0,"[-76.9750299817, 38.8734366865]",SIXTH,GUN,191523,ASSAULT W/DANGEROUS WEAPON,2016-05-16T20:29:16.000Z,EVENING,8
1A,3100.0,"[-77.0241774155, 38.935504404]",FOURTH,OTHERS,191524,THEFT/OTHER,2016-05-16T20:37:52.000Z,EVENING,1
7F,9603.0,"[-76.9519701299, 38.8913291494]",SIXTH,OTHERS,191525,THEFT/OTHER,2016-05-16T20:40:20.000Z,EVENING,7
2B,4202.0,"[-77.042549298, 38.913365715]",SECOND,OTHERS,191526,THEFT F/AUTO,2016-05-16T20:42:30.000Z,EVENING,2
7B,7604.0,"[-76.9706427282, 38.865283056]",SIXTH,OTHERS,191527,THEFT F/AUTO,2016-05-16T21:00:11.000Z,EVENING,8
8A,7503.0,"[-76.9828105413, 38.8654476325]",SEVENTH,OTHERS,191528,THEFT/OTHER,2016-05-16T21:05:06.000Z,EVENING,8
8B,7409.0,"[-76.9727818888, 38.8456632141]",SEVENTH,OTHERS,191529,THEFT/OTHER,2016-05-16T21:05:51.000Z,EVENING,8
2C,5900.0,"[-77.016199186, 38.8990670793]",FIRST,OTHERS,191530,THEFT F/AUTO,2016-05-16T21:10:01.000Z,EVENING,2
8D,10900.0,"[-77.0088925246, 38.8236043297]",SEVENTH,OTHERS,191531,THEFT/OTHER,2016-05-16T21:19:11.000Z,EVENING,8
2B,5500.0,"[-77.0457635384, 38.9091125623]",SECOND,OTHERS,191532,THEFT/OTHER,2016-05-16T21:23:25.000Z,EVENING,2
5B,9301.0,"[-76.9918135364, 38.932497845]",FIFTH,OTHERS,191533,THEFT/OTHER,2016-05-16T21:29:22.000Z,EVENING,5
6C,6202.0,"[-77.0083944804, 38.8972031698]",FIRST,OTHERS,191534,MOTOR VEHICLE THEFT,2016-05-16T21:35:10.000Z,EVENING,6
2F,4902.0,"[-77.0239830963, 38.9064435842]",THIRD,OTHERS,191535,THEFT F/AUTO,2016-05-16T21:40:52.000Z,EVENING,2
3G,1100.0,"[-77.0753148737, 38.9644532646]",SECOND,OTHERS,191536,THEFT/OTHER,2016-05-16T21:41:27.000Z,EVENING,3
5C,9102.0,"[-76.9900732846, 38.9231650965]",FIFTH,OTHERS,191537,ROBBERY,2016-05-16T21:51:15.000Z,EVENING,5
6B,6900.0,"[-76.9855149846, 38.8820594921]",FIRST,OTHERS,191538,ROBBERY,2016-05-16T21:56:07.000Z,EVENING,6
2F,4902.0,"[-77.0239720606, 38.9079119473]",THIRD,OTHERS,191539,THEFT F/AUTO,2016-05-16T22:33:55.000Z,EVENING,2
8C,7304.0,"[-76.9920427888, 38.841819509]",SEVENTH,GUN,191540,ASSAULT W/DANGEROUS WEAPON,2016-05-16T22:38:43.000Z,EVENING,8
2F,5001.0,"[-77.030788647, 38.914090073]",THIRD,KNIFE,191541,ASSAULT W/DANGEROUS WEAPON,2016-05-16T22:51:57.000Z,EVENING,2
2E,100.0,"[-77.0606795993, 38.9051961434]",SECOND,OTHERS,191542,THEFT/OTHER,2016-05-16T23:33:50.000Z,MIDNIGHT,2
7E,9906.0,"[-76.9325973559, 38.8873378736]",SIXTH,GUN,191543,HOMICIDE,2016-05-17T00:00:00.000Z,MIDNIGHT,7
8A,7601.0,"[-76.9798943456, 38.868906397]",SEVENTH,OTHERS,191544,BURGLARY,2016-05-17T00:32:18.000Z,MIDNIGHT,8
6E,4902.0,"[-77.0229459346, 38.907903145]",THIRD,OTHERS,191545,THEFT F/AUTO,2016-05-17T00:40:55.000Z,MIDNIGHT,6
1B,3500.0,"[-77.0253491812, 38.9222979691]",THIRD,OTHERS,191546,THEFT F/AUTO,2016-05-17T01:29:08.000Z,MIDNIGHT,1
4C,2502.0,"[-77.0257698605, 38.9376120059]",FOURTH,OTHERS,191547,MOTOR VEHICLE THEFT,2016-05-17T02:03:39.000Z,MIDNIGHT,4
8D,9807.0,"[-77.0083291649, 38.8314687656]",SEVENTH,OTHERS,191548,THEFT/OTHER,2016-05-17T03:20:37.000Z,MIDNIGHT,8
2C,5900.0,"[-77.0161868361, 38.8954457184]",FIRST,OTHERS,191549,THEFT/OTHER,2016-05-17T03:25:02.000Z,MIDNIGHT,2
4A,1600.0,"[-77.0265008984, 38.9804190962]",FOURTH,OTHERS,191550,THEFT/OTHER,2016-05-17T04:01:39.000Z,MIDNIGHT,4
1B,4400.0,"[-77.0219219409, 38.9148307567]",THIRD,OTHERS,191551,THEFT F/AUTO,2016-05-17T04:22:03.000Z,MIDNIGHT,1
7D,9601.0,"[-76.9442836135, 38.9037122392]",SIXTH,OTHERS,191552,THEFT/OTHER,2016-05-17T04:30:15.000Z,MIDNIGHT,7
1A,2802.0,"[-77.0336435879, 38.9287458317]",THIRD,OTHERS,191553,THEFT/OTHER,2016-05-17T04:44:39.000Z,MIDNIGHT,1
8D,9811.0,"[-77.0013037059, 38.8309645816]",SEVENTH,OTHERS,191554,MOTOR VEHICLE THEFT,2016-05-17T05:43:24.000Z,MIDNIGHT,8
6C,10600.0,"[-77.0074733824, 38.9079051595]",FIFTH,OTHERS,191555,THEFT F/AUTO,2016-05-17T05:52:15.000Z,MIDNIGHT,6
1B,4400.0,"[-77.0239745104, 38.9151996953]",THIRD,OTHERS,191556,THEFT F/AUTO,2016-05-17T06:36:46.000Z,MIDNIGHT,1
5C,9102.0,"[-76.9931524033, 38.9222194435]",FIFTH,OTHERS,191557,THEFT/OTHER,2016-05-17T06:59:44.000Z,MIDNIGHT,5
8A,7601.0,"[-76.9735335714, 38.8688600866]",SEVENTH,OTHERS,191558,THEFT F/AUTO,2016-05-17T07:15:55.000Z,DAY,8
5A,9508.0,"[-76.9929182869, 38.9572797093]",FOURTH,KNIFE,191559,ASSAULT W/DANGEROUS WEAPON,2016-05-17T07:19:59.000Z,DAY,5
7C,7806.0,"[-76.9301726104, 38.9034614321]",SIXTH,OTHERS,191560,THEFT F/AUTO,2016-05-17T07:34:36.000Z,DAY,7
2B,10700.0,"[-77.0389800346, 38.9025309984]",SECOND,OTHERS,191561,MOTOR VEHICLE THEFT,2016-05-17T08:02:06.000Z,DAY,2
4A,2001.0,"[-77.0315700798, 38.9602213623]",FOURTH,OTHERS,191562,MOTOR VEHICLE THEFT,2016-05-17T08:17:11.000Z,DAY,4
2B,4202.0,"[-77.0425246097, 38.9106361964]",SECOND,OTHERS,192167,THEFT F/AUTO,2016-05-22T20:58:13.000Z,EVENING,2
4D,2102.0,"[-77.0176998816, 38.9537833761]",FOURTH,OTHERS,192168,THEFT F/AUTO,2016-05-22T21:34:13.000Z,EVENING,4
7C,7806.0,"[-76.9327201331, 38.9038142528]",SIXTH,OTHERS,192169,THEFT/OTHER,2016-05-22T22:08:53.000Z,EVENING,7
6E,4701.0,"[-77.0161770513, 38.9031298522]",FIRST,OTHERS,192170,THEFT F/AUTO,2016-05-22T22:13:58.000Z,EVENING,6
6E,4701.0,"[-77.0161770513, 38.9031298522]",FIRST,OTHERS,192171,THEFT F/AUTO,2016-05-22T22:14:46.000Z,EVENING,6
2B,5301.0,"[-77.0365294977, 38.9115030256]",THIRD,OTHERS,192172,THEFT F/AUTO,2016-05-22T22:15:39.000Z,EVENING,2
4B,1901.0,"[-77.0233337371, 38.9655471742]",FOURTH,OTHERS,192173,THEFT F/AUTO,2016-05-22T22:34:05.000Z,EVENING,4
7F,7703.0,"[-76.9518003987, 38.8866357139]",SIXTH,OTHERS,192174,BURGLARY,2016-05-22T23:14:51.000Z,MIDNIGHT,7
7C,7807.0,"[-76.9229555834, 38.9034839209]",SIXTH,OTHERS,192175,THEFT/OTHER,2016-05-22T23:38:19.000Z,MIDNIGHT,7
3C,400.0,"[-77.0663964251, 38.9282723891]",SECOND,OTHERS,192176,THEFT/OTHER,2016-05-22T23:51:45.000Z,MIDNIGHT,3
6B,7200.0,"[-76.9949775472, 38.8778803882]",FIRST,OTHERS,192177,HOMICIDE,2016-05-23T00:00:00.000Z,MIDNIGHT,6
2F,4902.0,"[-77.0239830963, 38.9064435842]",THIRD,OTHERS,192178,THEFT F/AUTO,2016-05-23T00:07:54.000Z,MIDNIGHT,2
5E,4600.0,"[-77.0106786757, 38.9085715281]",FIFTH,KNIFE,192179,ASSAULT W/DANGEROUS WEAPON,2016-05-23T00:31:32.000Z,MIDNIGHT,5
6D,7200.0,"[-77.0032521618, 38.8764841494]",FIRST,OTHERS,192180,THEFT/OTHER,2016-05-23T00:52:57.000Z,MIDNIGHT,6
7B,7708.0,"[-76.9563886414, 38.8851961757]",SIXTH,OTHERS,192181,THEFT F/AUTO,2016-05-23T01:09:56.000Z,MIDNIGHT,7
1B,4400.0,"[-77.0308008195, 38.9155764453]",THIRD,OTHERS,192182,THEFT F/AUTO,2016-05-23T01:42:30.000Z,MIDNIGHT,1
7D,7809.0,"[-76.9397765933, 38.9028361924]",SIXTH,OTHERS,192183,THEFT/OTHER,2016-05-23T02:12:50.000Z,MIDNIGHT,7
7D,9603.0,"[-76.9378621688, 38.8903676088]",SIXTH,OTHERS,192184,THEFT/OTHER,2016-05-23T02:25:58.000Z,MIDNIGHT,7
5C,11100.0,"[-76.9771903734, 38.9285862997]",FIFTH,OTHERS,192185,THEFT/OTHER,2016-05-23T03:36:31.000Z,MIDNIGHT,5
1B,3400.0,"[-77.0217297582, 38.9274244321]",THIRD,OTHERS,192186,THEFT F/AUTO,2016-05-23T04:53:10.000Z,MIDNIGHT,1
5D,8804.0,"[-76.984898709, 38.9077422727]",FIFTH,OTHERS,192187,THEFT/OTHER,2016-05-23T05:54:33.000Z,MIDNIGHT,5
2B,4201.0,"[-77.0372003646, 38.9155745831]",THIRD,OTHERS,192188,THEFT F/AUTO,2016-05-23T06:48:30.000Z,MIDNIGHT,2
5D,8802.0,"[-76.9886116251, 38.9050221719]",FIFTH,OTHERS,192189,THEFT F/AUTO,2016-05-23T07:59:23.000Z,DAY,5
6E,4801.0,"[-77.0172398932, 38.9122371399]",FIFTH,OTHERS,192190,THEFT/OTHER,2016-05-23T08:52:45.000Z,DAY,5
7E,7707.0,"[-76.9328949055, 38.8773477396]",SIXTH,OTHERS,192191,THEFT F/AUTO,2016-05-23T09:20:57.000Z,DAY,7
5E,8701.0,"[-77.0056750406, 38.9111212398]",FIFTH,OTHERS,192192,BURGLARY,2016-05-23T09:21:07.000Z,DAY,5
